1: 8, 6, 0, 1, 3, 2, 7, 11, 10, 5, 13, 15, 12, 9, 14, 4, 
2: 14, 5, 3, 1, 8, 0, 4, 6, 7, 12, 11, 10, 15, 13, 9, 2, 
3: 4, 10, 15, 7, 13, 5, 12, 8, 6, 0, 14, 11, 2, 3, 9, 1, 
4: 15, 8, 4, 9, 6, 11, 0, 5, 2, 12, 10, 7, 3, 1, 14, 13, 
5: 3, 11, 13, 9, 15, 6, 0, 10, 12, 5, 8, 7, 1, 2, 4, 14, 
6: 5, 12, 0, 14, 2, 13, 3, 6, 11, 8, 1, 9, 7, 15, 10, 4, 
7: 12, 1, 0, 8, 7, 2, 14, 10, 9, 4, 15, 13, 5, 6, 3, 11, 
8: 5, 11, 7, 4, 13, 15, 14, 12, 2, 8, 3, 9, 10, 6, 1, 0, 
9: 11, 8, 14, 10, 13, 15, 7, 2, 6, 4, 9, 12, 3, 1, 0, 5, 
10: 10, 12, 0, 3, 8, 11, 4, 1, 6, 13, 7, 15, 2, 9, 14, 5, 
11: 8, 2, 9, 7, 13, 10, 4, 12, 5, 6, 15, 1, 14, 11, 0, 3, 
12: 4, 12, 14, 3, 11, 8, 7, 10, 13, 6, 15, 9, 0, 2, 5, 1, 
13: 6, 14, 5, 2, 12, 4, 0, 13, 10, 3, 9, 1, 11, 7, 8, 15, 
14: 0, 1, 13, 14, 10, 9, 2, 12, 8, 7, 15, 6, 3, 4, 11, 5, 
15: 3, 10, 9, 6, 5, 4, 7, 1, 2, 14, 15, 13, 8, 12, 11, 0, 
16: 4, 2, 8, 14, 12, 7, 15, 1, 5, 9, 6, 13, 3, 10, 0, 11, 
17: 9, 11, 3, 15, 7, 2, 6, 5, 13, 4, 14, 12, 1, 8, 10, 0, 
18: 11, 12, 2, 15, 10, 9, 1, 7, 3, 13, 5, 14, 4, 0, 6, 8, 
19: 2, 9, 5, 4, 7, 14, 12, 15, 0, 3, 13, 1, 8, 10, 11, 6, 
20: 11, 0, 3, 2, 10, 5, 15, 7, 9, 14, 8, 12, 4, 6, 13, 1, 
