1: 2, 9, 10, 21, 14, 29, 30, 24, 6, 26, 28, 3, 18, 19, 13, 15, 12, 22, 8, 31, 20, 11, 23, 25, 7, 5, 17, 16, 4, 1, 27, 0, 
2: 9, 0, 18, 26, 8, 29, 23, 12, 28, 15, 19, 3, 25, 24, 7, 11, 16, 5, 14, 13, 21, 20, 22, 27, 17, 4, 6, 31, 30, 1, 10, 2, 
3: 0, 1, 7, 10, 3, 25, 16, 23, 21, 20, 24, 22, 18, 12, 9, 15, 14, 8, 30, 29, 19, 4, 27, 28, 5, 2, 26, 17, 11, 31, 6, 13, 
4: 13, 25, 22, 10, 4, 27, 12, 16, 2, 23, 8, 7, 29, 6, 18, 3, 24, 20, 1, 11, 30, 26, 14, 0, 17, 9, 5, 21, 15, 28, 19, 31, 
5: 11, 17, 5, 0, 10, 20, 4, 1, 22, 28, 12, 23, 25, 3, 13, 27, 2, 9, 8, 30, 29, 26, 14, 15, 18, 21, 19, 7, 6, 24, 31, 16, 
6: 1, 25, 10, 30, 0, 7, 28, 16, 12, 3, 4, 27, 6, 14, 5, 18, 31, 26, 19, 13, 17, 24, 9, 23, 29, 22, 20, 11, 21, 8, 15, 2, 
7: 19, 22, 0, 8, 11, 26, 1, 25, 29, 17, 21, 2, 23, 20, 28, 27, 16, 7, 5, 31, 6, 30, 13, 9, 3, 18, 14, 10, 24, 4, 12, 15, 
8: 17, 19, 13, 23, 8, 27, 29, 21, 20, 25, 2, 16, 10, 24, 12, 6, 9, 1, 7, 18, 0, 5, 3, 15, 28, 31, 14, 11, 30, 4, 26, 22, 
9: 28, 10, 6, 31, 1, 24, 3, 4, 16, 5, 29, 7, 22, 21, 8, 30, 13, 15, 20, 27, 26, 14, 18, 11, 0, 9, 17, 12, 25, 23, 2, 19, 
10: 15, 0, 20, 10, 22, 4, 23, 9, 24, 7, 25, 17, 5, 14, 31, 2, 12, 6, 27, 19, 8, 28, 1, 30, 16, 13, 3, 29, 18, 26, 21, 11, 
11: 10, 18, 0, 21, 27, 31, 25, 6, 1, 30, 23, 5, 12, 11, 26, 13, 9, 4, 24, 29, 15, 20, 14, 16, 22, 28, 19, 3, 7, 2, 17, 8, 
12: 7, 4, 14, 21, 11, 8, 0, 20, 5, 26, 1, 2, 18, 17, 30, 13, 9, 15, 12, 28, 3, 22, 19, 25, 6, 27, 31, 23, 16, 29, 10, 24, 
13: 22, 27, 6, 24, 16, 2, 7, 12, 23, 3, 26, 0, 14, 25, 20, 8, 18, 13, 30, 1, 17, 19, 21, 29, 9, 5, 28, 10, 4, 31, 11, 15, 
14: 22, 11, 28, 4, 2, 31, 7, 0, 24, 19, 16, 13, 17, 18, 23, 30, 26, 5, 20, 1, 27, 6, 14, 9, 25, 12, 29, 21, 10, 8, 15, 3, 
15: 28, 29, 10, 11, 1, 16, 24, 18, 7, 12, 3, 25, 31, 17, 5, 26, 4, 2, 13, 14, 30, 27, 0, 8, 23, 6, 21, 9, 22, 15, 20, 19, 
16: 8, 11, 22, 5, 28, 9, 12, 30, 25, 3, 4, 20, 0, 10, 21, 24, 6, 13, 2, 7, 1, 26, 16, 31, 23, 14, 15, 17, 29, 19, 18, 27, 
17: 18, 30, 14, 26, 24, 31, 1, 3, 9, 7, 20, 5, 15, 22, 21, 11, 17, 4, 23, 13, 27, 8, 25, 28, 12, 0, 29, 10, 16, 2, 19, 6, 
18: 3, 5, 15, 21, 18, 26, 23, 20, 4, 2, 13, 10, 27, 17, 31, 29, 11, 16, 25, 22, 1, 8, 30, 6, 9, 28, 7, 12, 14, 24, 19, 0, 
19: 28, 22, 17, 6, 5, 15, 10, 18, 2, 25, 8, 21, 13, 14, 7, 1, 12, 26, 19, 0, 16, 4, 3, 29, 20, 9, 31, 23, 11, 27, 24, 30, 
20: 31, 0, 10, 14, 30, 28, 22, 1, 25, 18, 6, 23, 20, 16, 21, 27, 3, 24, 12, 15, 17, 4, 29, 19, 26, 9, 2, 7, 13, 5, 11, 8, 
